Total Yield vs Kmiss
0.4,0.45,0.5,218
0.5,0.55,0.6,369.5
0.6,0.65,0.7,494.5
0.7,0.75,0.8,531
0.8,0.85,0.9,512
0.9,0.95,1,421
1 to 1.5 Yield vs Kmiss
0.4,0.45,0.5,218
0.5,0.55,0.6,369.5
0.6,0.65,0.7,494.5
0.7,0.75,0.8,531
0.8,0.85,0.9,512
0.9,0.95,1,421
1.5 to 2 Yield vs Kmiss
0.4,0.45,0.5,95.5
0.5,0.55,0.6,188
0.6,0.65,0.7,234.5
0.7,0.75,0.8,257
0.8,0.85,0.9,218.5
0.9,0.95,1,169.5
2 to 2.5 Yield vs Kmiss
0.4,0.45,0.5,54.5
0.5,0.55,0.6,103.5
0.6,0.65,0.7,140
0.7,0.75,0.8,128
0.8,0.85,0.9,113
0.9,0.95,1,74
2.5 to 3 Yield vs Kmiss
0.4,0.45,0.5,36.5
0.5,0.55,0.6,59.5
0.6,0.65,0.7,72.5
0.7,0.75,0.8,73
0.8,0.85,0.9,54.5
0.9,0.95,1,38.5
#3 to 4 Yield vs Kmiss
0.4,0.45,0.5,15.5
0.5,0.55,0.6,19
0.6,0.65,0.7,22
0.7,0.75,0.8,19.5
0.8,0.85,0.9,15
0.9,0.95,1,11
